komoditas,tahun,luas_panen,produksi,produktivitas
Pepaya,2023,9743249,1238692,127.13
Pisang*,2023,110079757,9335232,84.8
Rambutan,2023,9517310,845107,88.8
Salak,2023,47553251,1120739,23.57
Sawo,2023,1364226,179706,131.73
Sirsak,2023,1685809,140405,83.29
Sukun,2023,1283314,156626,122.05
Blewah,2023,, - , - 
Melon,2023,7039,117794,16735.57
Semangka,2023,31458,408115,12973.34
Stroberi,2023,810,27721,34216.41
